NHS health board,SIMD decile,Population
Ayrshire and Arran,1,49255
Ayrshire and Arran,2,62348
Ayrshire and Arran,3,35980
Ayrshire and Arran,4,44823
Ayrshire and Arran,5,44124
Ayrshire and Arran,6,24995
Ayrshire and Arran,7,29118
Ayrshire and Arran,8,26981
Ayrshire and Arran,9,35475
Ayrshire and Arran,10,16261
Borders,1,2374
Borders,2,4917
Borders,3,4231
Borders,4,13293
Borders,5,18013
Borders,6,24556
Borders,7,23218
Borders,8,14620
Borders,9,6405
Borders,10,3883
Dumfries and Galloway,1,7877
Dumfries and Galloway,2,5212
Dumfries and Galloway,3,15372
Dumfries and Galloway,4,21553
Dumfries and Galloway,5,32371
Dumfries and Galloway,6,25186
Dumfries and Galloway,7,16064
Dumfries and Galloway,8,11772
Dumfries and Galloway,9,7628
Dumfries and Galloway,10,5825
Fife,1,27881
Fife,2,44706
Fife,3,36972
Fife,4,38182
Fife,5,43170
Fife,6,27718
Fife,7,34733
Fife,8,42896
Fife,9,35354
Fife,10,41938
Forth Valley,1,18619
Forth Valley,2,30446
Forth Valley,3,32039
Forth Valley,4,29457
Forth Valley,5,32557
Forth Valley,6,30677
Forth Valley,7,26874
Forth Valley,8,36164
Forth Valley,9,40657
Forth Valley,10,29150
Grampian,1,6264
Grampian,2,26278
Grampian,3,34062
Grampian,4,51922
Grampian,5,47762
Grampian,6,74338
Grampian,7,72973
Grampian,8,97779
Grampian,9,86958
Grampian,10,87364
Greater Glasgow and Clyde,1,250208
Greater Glasgow and Clyde,2,151934
Greater Glasgow and Clyde,3,116424
Greater Glasgow and Clyde,4,96056
Greater Glasgow and Clyde,5,85955
Greater Glasgow and Clyde,6,67182
Greater Glasgow and Clyde,7,79870
Greater Glasgow and Clyde,8,89950
Greater Glasgow and Clyde,9,123244
Greater Glasgow and Clyde,10,122297
Highland,1,11861
Highland,2,17036
Highland,3,21180
Highland,4,31070
Highland,5,50247
Highland,6,65342
Highland,7,60801
Highland,8,38193
Highland,9,14888
Highland,10,11082
Lanarkshire,1,72508
Lanarkshire,2,99411
Lanarkshire,3,89484
Lanarkshire,4,78562
Lanarkshire,5,61765
Lanarkshire,6,47968
Lanarkshire,7,57621
Lanarkshire,8,61624
Lanarkshire,9,70095
Lanarkshire,10,22862
Lothian,1,35830
Lothian,2,64768
Lothian,3,95131
Lothian,4,93252
Lothian,5,67469
Lothian,6,88042
Lothian,7,75855
Lothian,8,95035
Lothian,9,95311
Lothian,10,196887
Orkney,1,0
Orkney,2,0
Orkney,3,420
Orkney,4,3164
Orkney,5,4132
Orkney,6,0
Orkney,7,8146
Orkney,8,5541
Orkney,9,867
Orkney,10,0
Shetland,1,0
Shetland,2,0
Shetland,3,712
Shetland,4,674
Shetland,5,2076
Shetland,6,6106
Shetland,7,8897
Shetland,8,4455
Shetland,9,0
Shetland,10,0
Tayside,1,38917
Tayside,2,32289
Tayside,3,40865
Tayside,4,32113
Tayside,5,35026
Tayside,6,48632
Tayside,7,61489
Tayside,8,51756
Tayside,9,50558
Tayside,10,25825
Western Isles,1,0
Western Isles,2,0
Western Isles,3,1446
Western Isles,4,2485
Western Isles,5,10123
Western Isles,6,12666
Western Isles,7,0
Western Isles,8,0
Western Isles,9,0
Western Isles,10,0
